record_id,announcement_date,company,country,technology_type,qubit_count,gate_error_rate_pct,coherence_time_us,quantum_volume,funding_raised_million_usd,publications_count,patents_filed,sector_focus,is_commercially_available,year,quarter,qubits_per_error
915,2026-03-31,QuEra,Usa,Neutral Atom,373,1.019,37.9,24.0,306.0,2,1,General Research,1,2026,2026Q1,366.0
349,2022-09-30,Rigetti,Usa,Superconducting,323,0.998,55.5,38.0,319.5,0,3,Materials Science,1,2022,2022Q3,323.6
344,2022-05-31,Rigetti,Usa,Superconducting,255,1.204,38.9,30.0,336.8,3,1,Materials Science,1,2022,2022Q2,211.8
110,2017-10-31,Google,Usa,Superconducting,24,3.187,10.9,7.0,897.1,4,0,Drug Discovery,0,2017,2017Q4,7.5
829,2023-12-31,Pasqal,France,Neutral Atom,92,1.717,33.1,9.0,257.3,1,2,Drug Discovery,0,2023,2023Q4,53.6
607,2023-09-30,PsiQuantum,Usa,Photonic,43,2.611,29.6,4.0,1071.0,2,1,Cryptography,0,2023,2023Q3,16.5
939,2022-08-31,Intel,Usa,Silicon Spin,11,2.639,20.6,2.0,684.6,2,2,Finance,0,2022,2022Q3,4.2
692,2024-03-31,Xanadu,Canada,Photonic,122,2.194,31.8,9.0,440.0,1,1,General Research,0,2024,2024Q1,55.6
168,2023-05-31,Google,Usa,Superconducting,720,0.729,76.3,291.0,1967.7,5,0,Ai/Ml,1,2023,2023Q2,987.7
701,2024-11-30,Xanadu,Canada,Photonic,225,2.052,54.4,13.0,441.7,2,1,Materials Science,0,2024,2024Q4,109.6
792,2025-11-30,Origin Quantum,China,Superconducting,792,0.793,66.2,54.0,376.5,5,1,General Research,0,2025,2025Q4,998.7
870,2022-10-31,QuEra,Usa,Neutral Atom,32,2.075,17.7,5.0,194.2,0,0,Drug Discovery,0,2022,2022Q4,15.4
610,2023-10-31,PsiQuantum,Usa,Photonic,43,2.51,31.2,5.0,968.3,1,1,Cryptography,0,2023,2023Q4,17.1
862,2022-04-30,QuEra,Usa,Neutral Atom,22,2.801,14.8,9.0,198.6,1,1,General Research,0,2022,2022Q2,7.9
810,2022-05-31,Pasqal,France,Neutral Atom,27,1.973,13.8,5.0,198.9,0,0,General Research,0,2022,2022Q2,13.7
690,2024-01-31,Xanadu,Canada,Photonic,114,2.241,34.4,9.0,344.8,3,0,General Research,0,2024,2024Q1,50.9
369,2024-02-29,Rigetti,Usa,Superconducting,642,0.741,55.9,66.0,497.8,1,2,Finance,1,2024,2024Q1,866.4
296,2026-05-31,IonQ,Usa,Trapped Ion,315,0.304,68.6,87.0,512.6,3,3,Logistics,1,2026,2026Q2,1036.2
847,2025-10-31,Pasqal,France,Neutral Atom,314,1.208,50.5,19.0,255.9,2,1,Drug Discovery,1,2025,2025Q4,259.9
114,2018-02-28,Google,Usa,Superconducting,30,2.736,17.0,10.0,761.8,1,1,Drug Discovery,0,2018,2018Q1,11.0
649,2020-12-31,Xanadu,Canada,Photonic,11,3.642,14.9,2.0,219.6,2,1,Cryptography,0,2020,2020Q4,3.0
818,2022-12-31,Pasqal,France,Neutral Atom,52,2.002,28.65,6.0,172.6,0,0,Finance,0,2022,2022Q4,26.0
226,2020-04-30,IonQ,Usa,Trapped Ion,16,1.173,17.0,7.0,366.4,0,0,General Research,1,2020,2020Q2,13.6
301,2018-04-30,Rigetti,Usa,Superconducting,16,3.581,9.6,3.0,717.1,2,0,Finance,0,2018,2018Q2,4.5
908,2025-10-31,QuEra,Usa,Neutral Atom,244,1.245,41.1,18.0,294.4,2,1,General Research,0,2025,2025Q4,196.0
968,2025-03-31,Intel,Usa,Silicon Spin,51,1.61,36.5,5.0,867.5,3,1,Ai/Ml,0,2025,2025Q1,31.7
153,2022-01-31,Google,Usa,Superconducting,333,1.085,64.7,123.0,1336.7,3,3,Cryptography,0,2022,2022Q1,306.9
675,2022-11-30,Xanadu,Canada,Photonic,49,2.675,25.1,6.0,329.2,1,1,Drug Discovery,0,2022,2022Q4,18.3
4,2017-05-31,IBM,Usa,Superconducting,23,2.889,55.3,8.0,495.2,3,0,Ai/Ml,0,2017,2017Q2,8.0
813,2022-07-31,Pasqal,France,Neutral Atom,36,2.116,18.9,5.0,171.7,2,0,Cryptography,0,2022,2022Q3,17.0
553,2025-01-31,Quantinuum,Uk,Trapped Ion,74,0.57,62.2,28.0,1277.0,5,0,General Research,0,2025,2025Q1,129.8
612,2024-01-31,PsiQuantum,Usa,Photonic,44,2.61,23.5,5.0,1286.8,2,2,Logistics,0,2024,2024Q1,16.9
101,2026-02-28,IBM,Usa,Superconducting,6351,0.375,140.2,3001.0,1356.1,3,0,Materials Science,0,2026,2026Q1,16936.0
594,2022-11-30,PsiQuantum,Usa,Photonic,20,3.026,18.6,3.0,973.6,1,2,Logistics,0,2022,2022Q4,6.6
840,2025-01-31,Pasqal,France,Neutral Atom,195,1.25,36.0,15.0,265.8,4,1,Materials Science,1,2025,2025Q1,156.0
49,2021-04-30,IBM,Usa,Superconducting,314,1.06,65.4,132.0,867.1,6,5,General Research,1,2021,2021Q2,296.2
837,2024-08-31,Pasqal,France,Neutral Atom,160,1.217,34.7,13.0,254.2,2,1,Materials Science,0,2024,2024Q3,131.5
617,2024-06-30,PsiQuantum,Usa,Photonic,61,2.347,29.7,6.0,1098.9,2,1,Ai/Ml,0,2024,2024Q2,26.0
494,2025-02-28,D-Wave,Canada,Quantum Annealing,65050,2.247,82.2,1486.0,657.9,5,2,Logistics,0,2025,2025Q1,28949.7
879,2023-09-30,QuEra,Usa,Neutral Atom,49,1.711,24.5,7.0,227.5,3,0,Finance,1,2023,2023Q3,28.6
900,2025-03-31,QuEra,Usa,Neutral Atom,144,1.267,42.7,14.0,268.0,3,2,Drug Discovery,1,2025,2025Q1,113.7
58,2021-12-31,IBM,Usa,Superconducting,470,1.075,73.8,184.0,1070.0,4,0,Finance,1,2021,2021Q4,437.2
288,2025-08-31,IonQ,Usa,Trapped Ion,215,0.321,78.5,64.0,609.2,5,3,Finance,1,2025,2025Q3,669.8
276,2024-09-30,IonQ,Usa,Trapped Ion,116,0.445,64.1,38.0,550.1,2,2,Cryptography,1,2024,2024Q3,260.7
209,2026-04-30,Google,Usa,Superconducting,5519,0.443,128.0,2117.0,2398.7,4,3,Drug Discovery,1,2026,2026Q2,12458.2
345,2022-05-31,Rigetti,Usa,Superconducting,196,1.151,55.3,26.0,419.2,7,2,Materials Science,0,2022,2022Q2,170.3
890,2024-06-30,QuEra,Usa,Neutral Atom,90,1.655,25.8,10.0,291.4,3,1,Cryptography,0,2024,2024Q2,54.4
327,2020-10-31,Rigetti,Usa,Superconducting,94,1.904,28.1,13.0,345.7,2,2,Materials Science,1,2020,2020Q4,49.4
835,2024-06-30,Pasqal,France,Neutral Atom,133,1.361,34.7,12.0,209.5,3,3,Cryptography,1,2024,2024Q2,97.7
682,2023-07-31,Xanadu,Canada,Photonic,88,2.544,40.6,7.0,384.4,2,1,Ai/Ml,1,2023,2023Q3,34.6
926,2021-03-31,Intel,Usa,Silicon Spin,5,3.431,14.8,2.0,456.2,2,0,Drug Discovery,0,2021,2021Q1,1.5
886,2024-04-30,QuEra,Usa,Neutral Atom,85,1.559,26.3,9.0,264.3,1,0,Finance,0,2024,2024Q2,54.5
137,2020-05-31,Google,Usa,Superconducting,130,1.808,39.1,41.0,1224.1,3,0,Ai/Ml,0,2020,2020Q2,71.9
936,2022-04-30,Intel,Usa,Silicon Spin,9,2.666,24.9,2.0,558.6,1,1,Drug Discovery,0,2022,2022Q2,3.4
736,2021-02-28,Origin Quantum,China,Superconducting,31,2.275,22.5,6.0,252.9,3,0,Materials Science,0,2021,2021Q1,13.6
515,2021-01-31,Quantinuum,Uk,Trapped Ion,11,1.786,16.3,5.0,751.4,1,1,Materials Science,1,2021,2021Q1,6.2
563,2025-11-30,Quantinuum,Uk,Trapped Ion,131,0.453,71.0,17.0,1218.5,5,0,General Research,1,2025,2025Q4,289.2
924,2021-02-28,Intel,Usa,Silicon Spin,6,3.711,11.6,2.0,425.0,1,0,Materials Science,0,2021,2021Q1,1.6
351,2022-10-31,Rigetti,Usa,Superconducting,297,0.924,41.2,37.0,339.7,2,1,Materials Science,1,2022,2022Q4,321.4
85,2024-04-30,IBM,Usa,Superconducting,2072,0.654,82.7,880.0,1250.9,10,5,Logistics,1,2024,2024Q2,3168.2
155,2022-02-28,Google,Usa,Superconducting,306,1.085,59.6,115.0,1667.9,1,0,Drug Discovery,1,2022,2022Q1,282.0
584,2022-02-28,PsiQuantum,Usa,Photonic,11,4.25,15.2,2.0,856.5,0,0,Ai/Ml,0,2022,2022Q1,2.6
302,2018-07-31,Rigetti,Usa,Superconducting,17,1.147,12.9,4.0,251.9,2,0,Cryptography,0,2018,2018Q3,14.8
704,2025-04-30,Xanadu,Canada,Photonic,348,1.954,44.8,17.0,512.3,2,0,Cryptography,1,2025,2025Q2,178.1
64,2022-05-31,IBM,Usa,Superconducting,620,0.806,71.2,275.0,1018.0,5,0,Materials Science,0,2022,2022Q2,769.2
779,2024-11-30,Origin Quantum,China,Superconducting,414,0.914,57.7,35.0,414.7,3,1,Cryptography,0,2024,2024Q4,453.0
225,2020-04-30,IonQ,Usa,Trapped Ion,15,1.351,19.3,7.0,355.3,3,3,Ai/Ml,1,2020,2020Q2,11.1
615,2024-05-31,PsiQuantum,Usa,Photonic,57,2.744,37.3,5.0,1242.0,1,2,Ai/Ml,0,2024,2024Q2,20.8
783,2025-05-31,Origin Quantum,China,Superconducting,560,0.724,71.4,45.0,365.4,5,2,Ai/Ml,1,2025,2025Q2,773.5
705,2025-04-30,Xanadu,Canada,Photonic,269,1.9,52.1,15.0,395.6,1,3,Finance,1,2025,2025Q2,141.6
309,2019-05-31,Rigetti,Usa,Superconducting,35,2.797,17.3,6.0,268.3,3,1,Drug Discovery,0,2019,2019Q2,12.5
983,2026-05-31,Intel,Usa,Silicon Spin,101,1.36,44.5,7.0,1013.5,1,1,Drug Discovery,0,2026,2026Q2,74.3
125,2019-03-31,Google,Usa,Superconducting,47,2.051,28.3,17.0,1199.4,1,3,Logistics,0,2019,2019Q1,22.9
133,2019-12-31,Google,Usa,Superconducting,82,2.02,35.9,26.0,1304.6,2,0,General Research,1,2019,2019Q4,40.6
887,2024-05-31,QuEra,Usa,Neutral Atom,99,1.421,34.6,11.0,238.6,3,3,General Research,1,2024,2024Q2,69.7
950,2023-06-30,Intel,Usa,Silicon Spin,17,2.112,31.6,3.0,763.1,2,1,General Research,0,2023,2023Q2,8.0
502,2025-12-31,D-Wave,Canada,Quantum Annealing,104560,2.165,135.8,2202.0,829.4,5,3,Ai/Ml,0,2025,2025Q4,48295.6
231,2020-11-30,IonQ,Usa,Trapped Ion,22,1.025,25.4,9.0,359.9,3,0,Drug Discovery,1,2020,2020Q4,21.5
587,2022-04-30,PsiQuantum,Usa,Photonic,13,4.213,13.1,2.0,1001.5,2,1,General Research,0,2022,2022Q2,3.1
75,2023-06-30,IBM,Usa,Superconducting,1136,0.708,70.8,498.0,1216.4,4,3,Ai/Ml,1,2023,2023Q2,1604.5
417,2019-06-30,D-Wave,Canada,Quantum Annealing,5227,3.82,42.8,90.0,507.9,2,1,Logistics,0,2019,2019Q2,1368.3
575,2021-02-28,PsiQuantum,Usa,Photonic,5,4.944,5.5,2.0,630.7,1,1,Materials Science,0,2021,2021Q1,1.0
806,2021-09-30,Pasqal,France,Neutral Atom,22,2.536,8.7,4.0,159.5,0,0,Finance,0,2021,2021Q3,8.7
490,2024-12-31,D-Wave,Canada,Quantum Annealing,53135,2.476,85.8,1052.0,633.7,4,3,Ai/Ml,1,2024,2024Q4,21460.0
465,2023-02-28,D-Wave,Canada,Quantum Annealing,26671,2.571,72.3,624.0,606.9,2,3,Ai/Ml,0,2023,2023Q1,10373.8
716,2026-03-31,Xanadu,Canada,Photonic,765,1.721,64.0,27.0,499.1,4,3,General Research,0,2026,2026Q1,444.5
805,2021-09-30,Pasqal,France,Neutral Atom,21,2.419,11.8,4.0,162.3,0,0,General Research,0,2021,2021Q3,8.7
82,2023-11-30,IBM,Usa,Superconducting,1547,0.657,92.4,678.0,1040.3,6,3,General Research,1,2023,2023Q4,2354.6
811,2022-06-30,Pasqal,France,Neutral Atom,30,2.097,17.5,5.0,173.2,0,1,Drug Discovery,0,2022,2022Q2,14.3
787,2025-07-31,Origin Quantum,China,Superconducting,641,0.763,52.0,48.0,318.4,3,3,Materials Science,1,2025,2025Q3,840.1
116,2018-04-30,Google,Usa,Superconducting,27,2.676,16.6,9.0,851.6,2,1,Cryptography,0,2018,2018Q2,10.1
523,2022-01-31,Quantinuum,Uk,Trapped Ion,20,1.184,27.8,9.0,569.6500000000001,1,0,Ai/Ml,0,2022,2022Q1,16.9
139,2020-07-31,Google,Usa,Superconducting,108,1.668,50.3,38.0,1194.1,2,1,Cryptography,0,2020,2020Q3,64.7
130,2019-10-31,Google,Usa,Superconducting,90,1.942,31.3,29.0,1089.5,2,2,Logistics,1,2019,2019Q4,46.3
585,2022-02-28,PsiQuantum,Usa,Photonic,10,3.891,13.0,2.0,982.0,1,0,Ai/Ml,0,2022,2022Q1,2.6
267,2023-11-30,IonQ,Usa,Trapped Ion,87,0.493,68.6,30.0,429.4,6,3,Materials Science,1,2023,2023Q4,176.5
127,2019-04-30,Google,Usa,Superconducting,66,2.033,34.8,22.0,1252.4,8,0,Cryptography,1,2019,2019Q2,32.5
462,2022-11-30,D-Wave,Canada,Quantum Annealing,22686,2.949,59.9,408.0,608.0,6,2,Materials Science,0,2022,2022Q4,7692.8
801,2021-07-31,Pasqal,France,Neutral Atom,16,2.64,12.1,3.0,151.2,0,1,Logistics,0,2021,2021Q3,6.1
655,2021-06-30,Xanadu,Canada,Photonic,17,3.809,17.6,3.0,320.7,1,1,Cryptography,0,2021,2021Q2,4.5
944,2022-12-31,Intel,Usa,Silicon Spin,17,2.539,23.0,3.0,639.5,2,3,Ai/Ml,0,2022,2022Q4,6.7
897,2024-11-30,QuEra,Usa,Neutral Atom,133,1.597,28.2,12.0,288.9,3,1,Logistics,0,2024,2024Q4,83.3
454,2022-05-31,D-Wave,Canada,Quantum Annealing,16032,2.886,83.0,349.0,702.0,7,1,Drug Discovery,1,2022,2022Q2,5555.1
263,2023-07-31,IonQ,Usa,Trapped Ion,67,0.522,65.0,24.0,521.1,7,4,Finance,1,2023,2023Q3,128.4
435,2020-10-31,D-Wave,Canada,Quantum Annealing,9100,3.759,53.4,126.0,454.8,9,0,Materials Science,1,2020,2020Q4,2420.9
357,2023-05-31,Rigetti,Usa,Superconducting,421,0.991,45.2,45.0,451.7,10,1,Cryptography,1,2023,2023Q2,424.8
391,2026-04-30,Rigetti,Usa,Superconducting,2477,1.147,89.6,182.0,429.3,4,4,Materials Science,0,2026,2026Q2,2159.5
910,2025-11-30,QuEra,Usa,Neutral Atom,264,1.309,33.5,18.0,242.55,2,1,Logistics,0,2025,2025Q4,201.7
665,2022-02-28,Xanadu,Canada,Photonic,22,2.87,18.1,4.0,268.9,3,0,Drug Discovery,0,2022,2022Q1,7.7
7,2017-09-30,IBM,Usa,Superconducting,31,3.303,19.8,9.0,655.3,2,2,Finance,0,2017,2017Q3,9.4
636,2025-12-31,PsiQuantum,Usa,Photonic,196,2.009,42.8,10.0,1256.6,2,3,General Research,0,2025,2025Q4,97.6
542,2023-12-31,Quantinuum,Uk,Trapped Ion,53,0.726,53.4,20.0,960.0,0,0,Ai/Ml,1,2023,2023Q4,73.0
955,2023-10-31,Intel,Usa,Silicon Spin,26,2.181,29.1,4.0,768.1,0,0,Drug Discovery,0,2023,2023Q4,11.9
596,2022-12-31,PsiQuantum,Usa,Photonic,20,3.708,22.1,3.0,1114.1,3,2,General Research,0,2022,2022Q4,5.4
41,2020-08-31,IBM,Usa,Superconducting,205,1.398,61.6,77.0,717.1,4,2,Logistics,0,2020,2020Q3,146.6
978,2025-11-30,Intel,Usa,Silicon Spin,75,1.288,38.7,7.0,872.5,2,2,Drug Discovery,0,2025,2025Q4,58.2
639,2026-05-31,PsiQuantum,Usa,Photonic,325,1.634,41.7,14.0,1435.9,2,1,Finance,1,2026,2026Q2,198.9
308,2019-04-30,Rigetti,Usa,Superconducting,33,2.359,16.7,6.0,262.8,3,0,Logistics,0,2019,2019Q2,14.0
18,2018-12-31,IBM,Usa,Superconducting,63,2.319,41.5,21.0,588.2,2,0,Cryptography,0,2018,2018Q4,27.2
457,2022-08-31,D-Wave,Canada,Quantum Annealing,23168,3.145,84.9,349.0,674.9,5,4,Cryptography,1,2022,2022Q3,7366.6
836,2024-08-31,Pasqal,France,Neutral Atom,145,1.325,29.1,9.0,219.6,2,2,Cryptography,1,2024,2024Q3,109.4
373,2024-10-31,Rigetti,Usa,Superconducting,1077,0.598,66.0,99.0,484.6,2,1,Logistics,0,2024,2024Q4,1801.0
519,2021-04-30,Quantinuum,Uk,Trapped Ion,15,1.661,13.4,6.0,674.8,0,1,Materials Science,0,2021,2021Q2,9.0
861,2022-03-31,QuEra,Usa,Neutral Atom,19,2.375,11.7,4.0,199.2,0,2,General Research,0,2022,2022Q1,8.0
549,2024-09-30,Quantinuum,Uk,Trapped Ion,65,0.561,41.8,25.0,993.5,3,1,General Research,1,2024,2024Q3,115.9
815,2022-08-31,Pasqal,France,Neutral Atom,36,2.065,15.0,5.0,227.1,1,0,General Research,1,2022,2022Q3,17.4
426,2020-05-31,D-Wave,Canada,Quantum Annealing,8589,3.313,48.0,172.0,409.3,0,0,Materials Science,0,2020,2020Q2,2592.5
19,2019-01-31,IBM,Usa,Superconducting,64,2.251,40.8,21.0,784.4,8,0,Ai/Ml,0,2019,2019Q1,28.4
33,2020-02-29,IBM,Usa,Superconducting,126,1.487,46.1,50.0,731.6,1,1,Finance,1,2020,2020Q1,84.7
54,2021-08-31,IBM,Usa,Superconducting,347,1.096,57.3,141.0,833.7,5,2,General Research,1,2021,2021Q3,316.6
715,2026-03-31,Xanadu,Canada,Photonic,606,1.415,42.9,27.0,477.1,4,1,Finance,0,2026,2026Q1,428.3
499,2025-09-30,D-Wave,Canada,Quantum Annealing,90766,2.648,116.0,1254.0,770.8,4,1,Cryptography,0,2025,2025Q3,34277.2
237,2021-05-31,IonQ,Usa,Trapped Ion,27,1.027,35.4,11.0,324.9,0,2,Drug Discovery,1,2021,2021Q2,26.3
408,2018-07-31,D-Wave,Canada,Quantum Annealing,3499,4.79,25.9,37.0,391.2,2,3,Ai/Ml,0,2018,2018Q3,730.5
517,2021-03-31,Quantinuum,Uk,Trapped Ion,13,1.619,12.2,6.0,795.6,1,2,Logistics,0,2021,2021Q1,8.0
254,2022-07-31,IonQ,Usa,Trapped Ion,55,0.661,42.9,20.0,441.8,4,2,Finance,0,2022,2022Q3,83.2
893,2024-09-30,QuEra,Usa,Neutral Atom,124,1.58,26.6,11.0,264.3,3,1,Ai/Ml,0,2024,2024Q3,78.5
79,2023-09-30,IBM,Usa,Superconducting,1159,0.624,79.7,536.0,1270.6,8,4,Cryptography,1,2023,2023Q3,1857.4
438,2021-02-28,D-Wave,Canada,Quantum Annealing,11065,3.372,61.9,190.0,533.4,5,2,Logistics,0,2021,2021Q1,3281.4
561,2025-09-30,Quantinuum,Uk,Trapped Ion,116,0.416,72.3,42.0,1259.8,1,1,Ai/Ml,0,2025,2025Q3,278.8
43,2020-11-30,IBM,Usa,Superconducting,222,1.248,71.1,89.0,720.5,3,0,Finance,0,2020,2020Q4,177.9
466,2023-02-28,D-Wave,Canada,Quantum Annealing,22190,3.062,63.9,366.0,623.6,11,2,Drug Discovery,1,2023,2023Q1,7246.9
724,2019-10-31,Origin Quantum,China,Superconducting,17,3.67,8.0,3.0,162.2,2,0,Cryptography,0,2019,2019Q4,4.6
28,2019-10-31,IBM,Usa,Superconducting,128,1.793,44.7,44.0,764.4,0,1,Cryptography,0,2019,2019Q4,71.4
681,2023-06-30,Xanadu,Canada,Photonic,80,2.328,40.7,8.0,383.7,3,0,Drug Discovery,0,2023,2023Q2,34.4
771,2024-01-31,Origin Quantum,China,Superconducting,237,1.048,39.5,24.0,318.4,3,2,Materials Science,0,2024,2024Q1,226.1
26,2019-08-31,IBM,Usa,Superconducting,86,1.716,50.0,33.0,628.6,4,2,Finance,0,2019,2019Q3,50.1
896,2024-11-30,QuEra,Usa,Neutral Atom,126,1.582,37.8,12.0,302.7,3,1,Ai/Ml,0,2024,2024Q4,79.6
545,2024-04-30,Quantinuum,Uk,Trapped Ion,61,0.588,43.8,24.0,907.9,6,2,Materials Science,0,2024,2024Q2,103.7
272,2024-06-30,IonQ,Usa,Trapped Ion,112,0.382,74.9,38.0,427.1,4,2,Finance,0,2024,2024Q2,293.2
971,2025-06-30,Intel,Usa,Silicon Spin,64,1.506,35.6,6.0,802.4,4,2,Drug Discovery,0,2025,2025Q2,42.5
135,2020-04-30,Google,Usa,Superconducting,115,1.845,47.6,37.0,1055.2,6,3,General Research,1,2020,2020Q2,62.3
106,2017-07-31,Google,Usa,Superconducting,21,3.688,10.6,6.0,785.1,4,4,Drug Discovery,0,2017,2017Q3,5.7
8,2017-09-30,IBM,Usa,Superconducting,26,3.148,20.8,8.0,586.0,3,0,General Research,1,2017,2017Q3,8.3
746,2021-10-31,Origin Quantum,China,Superconducting,56,2.151,29.1,8.0,285.5,1,1,Ai/Ml,0,2021,2021Q4,26.0
293,2026-02-28,IonQ,Usa,Trapped Ion,269,0.301,65.1,17.0,550.9,4,4,Cryptography,1,2026,2026Q1,893.7
973,2025-08-31,Intel,Usa,Silicon Spin,74,1.455,33.5,6.0,953.8,2,1,Cryptography,0,2025,2025Q3,50.9
859,2021-12-31,QuEra,Usa,Neutral Atom,15,2.489,8.3,3.0,201.1,1,0,General Research,0,2021,2021Q4,6.0
683,2023-07-31,Xanadu,Canada,Photonic,74,2.611,31.0,7.0,416.4,4,0,Materials Science,0,2023,2023Q3,28.3
320,2020-05-31,Rigetti,Usa,Superconducting,67,1.816,32.0,11.0,271.8,2,1,Drug Discovery,0,2020,2020Q2,36.9
777,2024-09-30,Origin Quantum,China,Superconducting,338,0.872,50.6,32.0,301.6,4,2,Ai/Ml,0,2024,2024Q3,387.6
633,2025-08-31,PsiQuantum,Usa,Photonic,186,1.783,46.5,11.0,1449.4,0,0,Ai/Ml,1,2025,2025Q3,104.3
559,2025-07-31,Quantinuum,Uk,Trapped Ion,99,0.432,65.6,37.0,1101.5,4,2,Drug Discovery,1,2025,2025Q3,229.2
833,2024-05-31,Pasqal,France,Neutral Atom,116,1.489,29.1,10.0,279.5,2,0,General Research,0,2024,2024Q2,77.9
259,2023-03-31,IonQ,Usa,Trapped Ion,67,0.62,57.7,17.0,514.5,4,1,Materials Science,1,2023,2023Q1,108.1
421,2019-12-31,D-Wave,Canada,Quantum Annealing,5479,3.516,50.2,115.0,498.7,2,1,Drug Discovery,0,2019,2019Q4,1558.3
120,2018-09-30,Google,Usa,Superconducting,44,2.664,25.9,13.0,1093.1,3,3,Cryptography,0,2018,2018Q3,16.5
289,2025-09-30,IonQ,Usa,Trapped Ion,240,0.333,61.4,69.0,543.4,4,2,General Research,0,2025,2025Q3,720.7
81,2023-11-30,IBM,Usa,Superconducting,1324,0.675,116.2,583.0,1017.9,8,3,General Research,0,2023,2023Q4,1961.5
212,2019-01-31,IonQ,Usa,Trapped Ion,8,2.04,6.9,4.0,569.6500000000001,1,0,Drug Discovery,1,2019,2019Q1,3.9
953,2023-08-31,Intel,Usa,Silicon Spin,21,1.934,30.6,3.0,594.2,2,3,Logistics,1,2023,2023Q3,10.9
200,2025-10-31,Google,Usa,Superconducting,3645,1.147,113.6,1396.0,2294.9,9,5,Finance,0,2025,2025Q4,3177.9
855,2026-05-31,Pasqal,France,Neutral Atom,515,1.039,46.2,26.0,292.9,2,3,Finance,0,2026,2026Q2,495.7
703,2025-03-31,Xanadu,Canada,Photonic,283,1.658,47.2,17.0,375.8,3,0,Cryptography,1,2025,2025Q1,170.7
597,2022-12-31,PsiQuantum,Usa,Photonic,18,2.989,15.7,3.0,478.45000000000005,3,2,Materials Science,0,2022,2022Q4,6.0
